brand,shop_grossWeight,shop_id,shop_name,shop_placeOfOrigin,shop_price
美的（Midea）,43.0,100007665227,美的KFR-51LW/N8MJA3,中国大陆,3999.0
艾美特（AIRMATE）,6.9,595936,艾美特FSW52R,中国,179.0
海尔（Haier）,4.9,100015969196,海尔HZW1207Z,中国大陆,249.0
苏泊尔（SUPOR）,0.75,8248078,苏泊尔SJL-C2,中国大陆,69.0
海尔（Haier）,1.37,4112641,海尔HY-Y2028G,中国大陆,118.0
老板（Robam）,37.7,100020542354,老板老板65D1,中国大陆,4599.0
德尔玛（Deerma）,2.35,100007125275,德尔玛DEM-VC01,中国大陆,349.0
小熊（Bear）,2.15,100005539757,小熊XCQ-B01A2,中国大陆,279.0
美菱（MeiLing）,9.5,100000076564,美菱MY-L208,中国大陆,319.0
海尔（Haier）,2.05,100016892178,海尔ZL605G,中国大陆,139.0
利仁（Liven）,2.85,100010009314,利仁LR-D9285J,中国大陆,139.0
小天鹅（LittleSwan）,74.0,100021355172,小天鹅TG100V66WIADY,中国大陆,3799.0
易开得,3.3,100015557768,易开得9001,中国大陆,2480.0
美菱（MeiLing）,8.54,100000399728,美菱MY-C13,中国大陆,259.0
飞利浦（PHILIPS ）,6.74,1121698,飞利浦FC8471/81,中国大陆,399.0
德尔玛（Deerma）,1.0,100001054617,德尔玛TB500,中国大陆,65.0
惠当家（Hui Dang Jia）,4.55,10030667817334,惠当家（Hui Dang Jia）HDJDG-28,操控方式：机械式,188.0
添可（TINECO）,8.1,100018635576,添可 FW100400CN,中国大陆,4590.0
德尔玛（Deerma）,1.53,4559760,德尔玛DEM-F600(白色),广东佛山,79.0
美的（Midea）,102.0,100012751422,美的BCD-540WKPZM(E),中国大陆,4999.0
美的（Midea）,13.5,100014868132,美的MRO17870.D-1,中国大陆,3298.0
苏泊尔（SUPOR）,4.0,100020405660,苏泊尔VCS63X-C11,中国大陆,1099.0
利仁（Liven）,6.32,1163602,利仁LR-FD431,廊坊,549.0
美的（Midea）,45.0,65546006427,美的（Midea）MB100VT50WQC,中国大陆,1599.0
格力（GREE）,7.74,100006600855,格力FD-40X77Bh5,中国大陆,206.0
小熊（Bear）,3.75,100017715804,小熊DFB-B50W2,中国大陆,199.0
大宇（DAEWOO）,6.12,100009078846,大宇S11,中国大陆,969.0
格力（GREE）,4.96,10026523110092,格力（GREE）FL-08X62Bg,中国大陆,269.0
美的（Midea）,2.2,100011817824,美的GAD18MA,中国大陆,119.0
352,13.25,100007906920,352X50S,中国大陆,1299.0
飞利浦（PHILIPS ）,6.54,100007464763,飞利浦FC6730/81,中国大陆,1399.0
美的（Midea）,2.64,608883,美的SC861A,江苏,139.0
格力（GREE）,6.36,37232138383,格力（GREE）FL-09X62Bhc,中国大陆,399.0
奥克斯（AUX）,3.8,100006073553,奥克斯HX-10B76,中国大陆,239.0
小天鹅（LittleSwan）,74.0,100004688993,小天鹅TG100PURE,中国大陆,2299.0
松下（Panasonic）,1.17,3376460,松下NI-M105N_HA,中国大陆,109.0
艾美特（AIRMATE）,1.86,100011623580,艾美特CA15-X28,中国大陆,109.0
沁园（TRULIVA）,9.73,100003100494,沁园KRL3913,中国大陆,1798.0
格力（GREE）,13.67,67960958141,格力（GREE）KS-06S61Dg,中国大陆,659.0
飞利浦（PHILIPS ）,2.84,100007217471,飞利浦ADD4812,中国大陆,529.0
澳柯玛（AUCMA）,6.0,100011582288,澳柯玛FS-35D909(Y),中国青岛,99.0
华凌,16.0,100012751576,华凌VIE1,中国大陆,999.0
奥克斯（AUX）,7.5,100019492474,奥克斯YR-5-X-26,中国大陆,299.0
摩飞电器（Morphyrichards）,2.85,100007333669,摩飞电器MR9086,中国大陆,459.0
小米（MI）,14.64,100009776714,小米小米净水器,中国大陆,2499.0
艾美特（AIRMATE）,6.96,100011623554,艾美特CS35-R19,中国大陆,189.0
索尼（SONY）,31.0,100007346953,索尼KD-65X9100H,中国上海,6499.0
米家,6.52,100007156812,米家STYTJ02YM,中国大陆,1499.0
海尔（Haier）,3.65,4401908,海尔ZC405S,中国大陆,438.0
摩飞电器（Morphyrichards）,5.38,8963179,摩飞电器MR9088,中国大陆,1090.0
德尔玛（Deerma）,2.63,100002092255,德尔玛VC20,中国大陆,369.0
美的（Midea）,90.0,100011151639,美的BCD-470WKPZM(E),中国大陆,3899.0
德尔玛（Deerma）,3.85,100019775906,德尔玛DX1000,中国大陆,299.0
石头（roborock）,7.5,100019625806,石头石头 T7S,中国大陆,2999.0
美的（Midea）,13.5,100007626995,美的KFR-35GW/BP3DN8Y-PH200(1),中国大陆,2699.0
美的（Midea）,3.66,3786784,美的MC-LHN30A,中国大陆,139.0
TCL,3.88,100019017644,TCLTFZ10-21FD,中国大陆,129.9
